match_id,city,winner,total_runs,date
713,Bengaluru,Kolkata Knight Riders,205,2019-04-05
714,Chennai,Chennai Super Kings,160,2019-04-06
715,Hyderabad,Mumbai Indians,136,2019-04-06
716,Bengaluru,Delhi Capitals,149,2019-04-07
717,Jaipur,Kolkata Knight Riders,139,2019-04-07
718,Chandigarh,Punjab Kings,150,2019-04-08
719,Chennai,Chennai Super Kings,108,2019-04-09
720,Mumbai,Mumbai Indians,197,2019-04-10
721,Jaipur,Chennai Super Kings,151,2019-04-11
722,Kolkata,Delhi Capitals,178,2019-04-12
723,Mumbai,Rajasthan Royals,187,2019-04-13
724,Chandigarh,Royal Challengers Bengaluru,173,2019-04-13
725,Kolkata,Chennai Super Kings,161,2019-04-14
726,Hyderabad,Delhi Capitals,155,2019-04-14
727,Mumbai,Mumbai Indians,171,2019-04-15
728,Chandigarh,Punjab Kings,182,2019-04-16
729,Hyderabad,Sunrisers Hyderabad,132,2019-04-17
730,Delhi,Mumbai Indians,168,2019-04-18
731,Kolkata,Royal Challengers Bengaluru,213,2019-04-19
732,Jaipur,Rajasthan Royals,161,2019-04-20
733,Delhi,Delhi Capitals,163,2019-04-20
734,Hyderabad,Sunrisers Hyderabad,159,2019-04-21
735,Bengaluru,Royal Challengers Bengaluru,161,2019-04-21
736,Jaipur,Delhi Capitals,191,2019-04-22
737,Chennai,Chennai Super Kings,175,2019-04-23
738,Bengaluru,Royal Challengers Bengaluru,202,2019-04-24
739,Kolkata,Rajasthan Royals,175,2019-04-25
740,Chennai,Mumbai Indians,155,2019-04-26
741,Jaipur,Rajasthan Royals,160,2019-04-27
742,Delhi,Delhi Capitals,187,2019-04-28
743,Kolkata,Kolkata Knight Riders,232,2019-04-28
744,Hyderabad,Sunrisers Hyderabad,212,2019-04-29
745,Bengaluru,,62,2019-04-30
746,Chennai,Chennai Super Kings,179,2019-05-01
747,Mumbai,Mumbai Indians,162,2019-05-02
748,Chandigarh,Kolkata Knight Riders,183,2019-05-03
749,Delhi,Delhi Capitals,115,2019-05-04
750,Bengaluru,Royal Challengers Bengaluru,175,2019-05-04
751,Chandigarh,Punjab Kings,170,2019-05-05
752,Mumbai,Mumbai Indians,133,2019-05-05
753,Chennai,Mumbai Indians,131,2019-05-07
754,Visakhapatnam,Delhi Capitals,162,2019-05-08
755,Visakhapatnam,Chennai Super Kings,147,2019-05-10
756,Hyderabad,Mumbai Indians,149,2019-05-12
757,Abu Dhabi,Chennai Super Kings,162,2020-09-19
758,,Delhi Capitals,157,2020-09-20
759,,Royal Challengers Bengaluru,163,2020-09-21
760,,Rajasthan Royals,216,2020-09-22
761,Abu Dhabi,Mumbai Indians,195,2020-09-23
762,,Punjab Kings,206,2020-09-24
763,,Delhi Capitals,175,2020-09-25
764,Abu Dhabi,Kolkata Knight Riders,142,2020-09-26
765,,Rajasthan Royals,223,2020-09-27
766,,Royal Challengers Bengaluru,201,2020-09-28
767,Abu Dhabi,Sunrisers Hyderabad,162,2020-09-29
768,,Kolkata Knight Riders,174,2020-09-30
769,Abu Dhabi,Mumbai Indians,191,2020-10-01
770,,Sunrisers Hyderabad,164,2020-10-02
771,Abu Dhabi,Royal Challengers Bengaluru,154,2020-10-03
772,,Delhi Capitals,228,2020-10-03
773,,Chennai Super Kings,178,2020-10-04
774,,Mumbai Indians,208,2020-10-04
775,,Delhi Capitals,196,2020-10-05
776,Abu Dhabi,Mumbai Indians,193,2020-10-06
777,Abu Dhabi,Kolkata Knight Riders,167,2020-10-07
778,,Sunrisers Hyderabad,201,2020-10-08
779,,Delhi Capitals,184,2020-10-09
780,Abu Dhabi,Kolkata Knight Riders,164,2020-10-10
781,,Royal Challengers Bengaluru,169,2020-10-10
782,,Rajasthan Royals,158,2020-10-11
783,Abu Dhabi,Mumbai Indians,162,2020-10-11
784,,Royal Challengers Bengaluru,194,2020-10-12
785,,Chennai Super Kings,167,2020-10-13
786,,Delhi Capitals,161,2020-10-14
787,,Punjab Kings,171,2020-10-15
788,Abu Dhabi,Mumbai Indians,148,2020-10-16
789,,Delhi Capitals,179,2020-10-17
790,,Royal Challengers Bengaluru,177,2020-10-17
791,Abu Dhabi,Kolkata Knight Riders,163,2020-10-18
792,,Punjab Kings,176,2020-10-18
793,Abu Dhabi,Rajasthan Royals,125,2020-10-19
794,,Punjab Kings,164,2020-10-20
795,Abu Dhabi,Royal Challengers Bengaluru,84,2020-10-21
796,,Sunrisers Hyderabad,154,2020-10-22
797,,Mumbai Indians,114,2020-10-23
798,Abu Dhabi,Kolkata Knight Riders,194,2020-10-24
799,,Punjab Kings,126,2020-10-24
800,Abu Dhabi,Rajasthan Royals,195,2020-10-25
801,,Chennai Super Kings,145,2020-10-25
802,,Punjab Kings,149,2020-10-26
803,,Sunrisers Hyderabad,219,2020-10-27
804,Abu Dhabi,Mumbai Indians,164,2020-10-28
805,,Chennai Super Kings,172,2020-10-29
806,Abu Dhabi,Rajasthan Royals,185,2020-10-30
807,,Sunrisers Hyderabad,120,2020-10-31
808,,Mumbai Indians,110,2020-10-31
809,Abu Dhabi,Chennai Super Kings,153,2020-11-01
810,,Kolkata Knight Riders,191,2020-11-01
811,Abu Dhabi,Delhi Capitals,152,2020-11-02
812,,Sunrisers Hyderabad,149,2020-11-03
813,,Mumbai Indians,200,2020-11-05
814,Abu Dhabi,Sunrisers Hyderabad,131,2020-11-06
815,Abu Dhabi,Delhi Capitals,189,2020-11-08
816,,Mumbai Indians,156,2020-11-10
817,Chennai,Royal Challengers Bengaluru,159,2021-04-09
818,Mumbai,Delhi Capitals,188,2021-04-10
819,Chennai,Kolkata Knight Riders,187,2021-04-11
820,Mumbai,Punjab Kings,221,2021-04-12
821,Chennai,Mumbai Indians,152,2021-04-13
822,Chennai,Royal Challengers Bengaluru,149,2021-04-14
823,Mumbai,Rajasthan Royals,147,2021-04-15
824,Mumbai,Chennai Super Kings,106,2021-04-16
825,Chennai,Mumbai Indians,150,2021-04-17
826,Chennai,Royal Challengers Bengaluru,204,2021-04-18
827,Mumbai,Delhi Capitals,195,2021-04-18
828,Mumbai,Chennai Super Kings,188,2021-04-19
829,Chennai,Delhi Capitals,137,2021-04-20
830,Chennai,Sunrisers Hyderabad,120,2021-04-21
831,Mumbai,Chennai Super Kings,220,2021-04-21
832,Mumbai,Royal Challengers Bengaluru,177,2021-04-22
833,Chennai,Punjab Kings,131,2021-04-23
834,Mumbai,Rajasthan Royals,133,2021-04-24
835,Mumbai,Chennai Super Kings,191,2021-04-25
836,Chennai,Delhi Capitals,159,2021-04-25
837,Ahmedabad,Kolkata Knight Riders,123,2021-04-26
838,Ahmedabad,Royal Challengers Bengaluru,171,2021-04-27
839,Delhi,Chennai Super Kings,171,2021-04-28
840,Delhi,Mumbai Indians,171,2021-04-29
841,Ahmedabad,Delhi Capitals,154,2021-04-29
842,Ahmedabad,Punjab Kings,179,2021-04-30
843,Delhi,Mumbai Indians,218,2021-05-01
844,Delhi,Rajasthan Royals,220,2021-05-02
845,Ahmedabad,Delhi Capitals,166,2021-05-02
846,Dubai,Chennai Super Kings,156,2021-09-19
847,Abu Dhabi,Kolkata Knight Riders,92,2021-09-20
848,Dubai,Rajasthan Royals,185,2021-09-21
849,Dubai,Delhi Capitals,134,2021-09-22
850,Abu Dhabi,Kolkata Knight Riders,155,2021-09-23
851,Sharjah,Chennai Super Kings,156,2021-09-24
852,Abu Dhabi,Delhi Capitals,154,2021-09-25
853,Sharjah,Punjab Kings,125,2021-09-25
854,Abu Dhabi,Chennai Super Kings,171,2021-09-26
855,Dubai,Royal Challengers Bengaluru,165,2021-09-26
856,Dubai,Sunrisers Hyderabad,164,2021-09-27
857,Sharjah,Kolkata Knight Riders,127,2021-09-28
858,Abu Dhabi,Mumbai Indians,135,2021-09-28
859,Dubai,Royal Challengers Bengaluru,149,2021-09-29
860,Sharjah,Chennai Super Kings,134,2021-09-30
861,Dubai,Punjab Kings,165,2021-10-01
862,Abu Dhabi,Rajasthan Royals,189,2021-10-02
863,Sharjah,Delhi Capitals,129,2021-10-02
864,Sharjah,Royal Challengers Bengaluru,164,2021-10-03
865,Dubai,Kolkata Knight Riders,115,2021-10-03
866,Dubai,Delhi Capitals,136,2021-10-04
867,Sharjah,Mumbai Indians,90,2021-10-05
868,Abu Dhabi,Sunrisers Hyderabad,141,2021-10-06
869,Dubai,Punjab Kings,134,2021-10-07
870,Sharjah,Kolkata Knight Riders,171,2021-10-07
871,Abu Dhabi,Mumbai Indians,235,2021-10-08
872,Dubai,Royal Challengers Bengaluru,164,2021-10-08
873,Dubai,Chennai Super Kings,172,2021-10-10
874,Sharjah,Kolkata Knight Riders,138,2021-10-11
875,Sharjah,Kolkata Knight Riders,135,2021-10-13
876,Dubai,Chennai Super Kings,192,2021-10-15
877,Mumbai,Kolkata Knight Riders,131,2022-03-26
878,Mumbai,Delhi Capitals,177,2022-03-27
879,Mumbai,Punjab Kings,205,2022-03-27
880,Mumbai,Gujarat Titans,158,2022-03-28
881,Pune,Rajasthan Royals,210,2022-03-29
882,Mumbai,Royal Challengers Bengaluru,128,2022-03-30
883,Mumbai,Lucknow Super Giants,210,2022-03-31
884,Mumbai,Kolkata Knight Riders,137,2022-04-01
885,Mumbai,Rajasthan Royals,193,2022-04-02
886,Pune,Gujarat Titans,171,2022-04-02
887,Mumbai,Punjab Kings,180,2022-04-03
888,Mumbai,Lucknow Super Giants,169,2022-04-04
889,Mumbai,Royal Challengers Bengaluru,169,2022-04-05
890,Pune,Kolkata Knight Riders,161,2022-04-06
891,Mumbai,Lucknow Super Giants,149,2022-04-07
892,Mumbai,Gujarat Titans,189,2022-04-08
893,Mumbai,Sunrisers Hyderabad,154,2022-04-09
894,Pune,Royal Challengers Bengaluru,151,2022-04-09
895,Mumbai,Delhi Capitals,215,2022-04-10
896,Mumbai,Rajasthan Royals,165,2022-04-10
897,Mumbai,Sunrisers Hyderabad,162,2022-04-11
898,Mumbai,Chennai Super Kings,216,2022-04-12
899,Pune,Punjab Kings,198,2022-04-13
900,Mumbai,Gujarat Titans,192,2022-04-14
901,Mumbai,Sunrisers Hyderabad,175,2022-04-15
902,Mumbai,Lucknow Super Giants,199,2022-04-16
903,Mumbai,Royal Challengers Bengaluru,189,2022-04-16
904,Mumbai,Sunrisers Hyderabad,151,2022-04-17
905,Pune,Gujarat Titans,169,2022-04-17
906,Mumbai,Rajasthan Royals,217,2022-04-18
907,Mumbai,Royal Challengers Bengaluru,181,2022-04-19
908,Mumbai,Delhi Capitals,115,2022-04-20
909,Navi Mumbai,Chennai Super Kings,155,2022-04-21
910,Mumbai,Rajasthan Royals,222,2022-04-22
